id,type,title,hook,mainPoints,conclusion,myth,truth,explanation,tip,reason,duration,scenes,trendingFormat,cta,brandColor
1,Educational,La Verdad sobre la Sal,¿Por qué nos dijeron que la sal es mala pero los atletas profesionales la consumen a montones?,Pierdes 500-1000mg de sodio por litro de sudor|Durante ejercicio intenso pierdes hasta 2L por hora|La mayoría de bebidas deportivas solo tienen 20-50mg,BILAN tiene 1000mg de sodio por porción - lo que tu cuerpo científicamente necesita,,,,,,60,,,Dime en los comentarios si ya sabías esto,#0066CC
2,QuickTip,3 Señales de Deshidratación,El 75% de los mexicanos están deshidratados ahora mismo y ni siquiera lo saben,,,,,,Orina amarillo oscuro significa modo emergencia|Cansancio que no se va ni con café|Antojos locos de sal o azúcar,Tu cuerpo confunde falta de electrolitos con hambre,30,,,Guarda este video y chécate,#0066CC
3,Mythbusting,El Mito de los 8 Vasos,Los 8 vasos de agua al día son un mito y te voy a decir por qué,,,Este consejo viene de un estudio de los años 40 que fue malinterpretado,Tu necesidad de agua depende de tu peso actividad y clima,Un oficinista de 60kg en CDMX no necesita lo mismo que un albañil de 90kg en Monterrey con 40 grados,,,45,,,Dime cuánta agua tomas tú al día,#0066CC
4,Mythbusting,Trampa de Bebidas Deportivas,Me gasté cientos de pesos en bebidas deportivas antes de darme cuenta de que me estaban viendo la cara,,,Las bebidas deportivas del súper tienen solo 20-50mg de sodio,Necesitas 500-1000mg por litro de sudor,Aparte tienen 30g de azúcar - casi como un refresco. BILAN tiene 1000mg sodio y 0g azúcar,,,45,,,Lee la etiqueta la próxima vez,#0066CC
5,Trending,Cómo Me Curé de los Calambres,Durante 3 años no pude terminar un partido de futbol completo por los calambres. Hasta que descubrí esto,,,,,,,,60,Calambres cada partido minuto 60-70|Probé plátanos agua pastillas - nada funcionó|Descubrí que necesitaba SODIO no solo potasio|Ahora juego 90 minutos completos sin calambres,transformation,Dime dónde te dan calambres a ti,#0066CC
6,Trending,Transformación en el Gym,Aumenté 15% mi rendimiento en el gym sin cambiar mi rutina ni mi dieta. Solo cambié esto,,,,,,,,60,Antes: Cansancio dolores de cabeza DOMS de 3-4 días|El cambio: Agregué electrolitos a mi hidratación|Después: Más energía pesos subieron 10-15%|Solo agregué BILAN,transformation,Comenta tu ejercicio principal,#0066CC
7,QuickTip,Tip de Hidratación 15s,Este truco de hidratación te puede salvar en tu próximo entrenamiento,,,,,,Pellizca tu piel en el dorso de la mano,Si vuelve lento estás deshidratado - si vuelve rápido estás bien,15,,,Guarda esto y usa BILAN,#0066CC
8,QuickTip,Secreto de los Atletas,Los atletas profesionales no toman agua durante entrenamientos. Toman esto,,,,,,Cuando sudas intensamente el agua sola no te rehidrata,Los atletas de élite reponen electrolitos - 1000mg de sodio por hora. BILAN tiene esa fórmula,30,,,Sígueme para más secretos,#0066CC
9,Trending,POV Olvidas Electrolitos,POV: Olvidaste tus electrolitos y ya vas en el minuto 45 de cardio,,,,,,,,30,Minuto 15: Todo bien estoy bien|Minuto 30: Por qué me siento mareado|Minuto 45: Chale me está dando calambre|Minuto 60: Por qué me odia mi cuerpo,pov,No seas payaso trae tu BILAN,#0066CC
10,Trending,Tutorial Hidratación Perfecta,Tutorial: Cómo hidratarte como los atletas profesionales en 3 pasos,,,,,,,,45,PASO 1: Pre-entrenamiento - 500ml con BILAN 2h antes|PASO 2: Durante - 250ml cada 15-20min|PASO 3: Post - 500-750ml en la siguiente hora,tutorial,Guarda este tutorial,#0066CC
